"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,7.01805376762411,19.5831626952302,0.403057106080686,-0.124809583844882,2.476107498074,3.68e-05,5301405,51563.9706234905,23439.783577367,0,0,0,0,0,-334.283182556153,674127160
0.00019,0.142857142857143,0.1,-2.86804370465149,0.658099744066765,0.0382794122981662,-0.368226849027072,-2.63641636069107,3.68e-05,5301405,201565.647194469,173438.271953422,0,0,0,0,0,-169.877402735896,363845616
0.00019,0.142857142857143,0.1,-2.87168421117279,0.658330252640902,0.0385455405489032,-0.36490122200992,-2.63949969588642,3.68e-05,5301405,201562.875247762,173439.716231825,0,0,0,0,0,-169.868437760739,58804071
0.00019,0.142857142857143,0.1,-3.02648534351773,0.80984999411841,0.122836555427913,-0.215009415319228,-3.06558597669135,3.68e-05,5301405,201561.243078825,173438.496403447,0,0,0,0,0,-176.254041043415,868393636
0.00019,0.142857142857143,0.1,-2.87215834422587,0.660022912174334,0.0387345246665177,-0.365041743322919,-2.64294438333549,3.68e-05,5301405,201563.378367951,173437.331981437,0,0,0,0,0,-169.858017533381,693844850
0.00019,0.142857142857143,0.1,-2.87545075797014,0.660643534597541,0.0392651518022261,-0.357555135090665,-2.65510736578093,3.68e-05,5301405,201561.293206399,173439.334768612,0,0,0,0,0,-169.863807704996,805386259
0.00019,0.142857142857143,0.1,-2.53209256558999,1.39361268952816,0.606086530452986,1.29177615287906,-0.723012376183916,3.68000000000001e-05,5301405,32814.2279610888,154687.23120768,0,0,0,0,0,-198.594380912088,484482256
0.00019,0.142857142857143,0.1,-2.58784539481589,1.41554702210646,0.653459809167503,1.27452222685056,-0.698163636708412,3.68e-05,5301405,32812.8474945739,154688.651610872,0,0,0,0,0,-198.644473261444,737461672
0.00019,0.142857142857143,0.1,-2.59400954840205,1.40729809225025,0.726684748780149,1.68287123117481,-0.655183918702464,3.68e-05,5301405,32813.3878497193,154688.027147966,0,0,0,0,0,-199.56179770209,53361805
0.00019,0.142857142857143,0.1,-2.60348454344861,1.42812288245577,0.663248061606638,1.2576587723645,-0.691809137695684,3.68e-05,5301405,32811.6153647577,154689.031188362,0,0,0,0,0,-198.651394028099,54304715
0.00019,0.142857142857143,0.1,-1.18744212977408,23.5443153620735,0.717076590234096,4.10290282861883,-5.39767824464321,3.68e-05,5301405,32813.9235811878,154689.235284761,0,0,0,0,0,-344.654497070843,271221935
0.00019,0.142857142857143,0.1,-10.0332935782679,5.39199115748826,0.466517928690994,-0.709738042340313,1.18620373087774,3.67999999999999e-05,5301405,182812.294310161,4687.59518656747,0,0,0,0,0,-280.98435764082,766197498
