"phi","gamma","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,0.07830015625,1.64754733823332,0.773863071065618,0.0649131629526818,0.0570354083775442,3.68e-05,5281842,384374.739990121,0,0,0,0.01721420632104,0,-206.849155756363,249355954
0,0.0588235294117647,0.07830015625,1.64438499982378,0.849190902073592,0.0653796466955464,0.0754306374219173,3.68e-05,5281842,384376.512946528,0,0,0,0.01721420632104,0,-206.824822698324,774759910
0,0.0588235294117647,0.57820515625,1.22014134237234,0.0358094747102186,0.0693774356035595,0.125817416722495,3.68e-05,5281842,84376.6321393113,0,0,0,0.01721420632104,0,-191.989136426862,23602982
0,0.0588235294117647,0.57820515625,1.25330797362313,0.0412283251213979,0.0668539034882564,0.0376117574134684,3.68e-05,5281842,84376.497224132,0,0,0,0.01721420632104,0,-192.435615845071,248472306
0,0.0588235294117647,0.57820515625,1.25156472105718,0.0474022316023761,0.0669632099479826,0.110484940793633,3.68000000000001e-05,5281842,84376.9551263033,0,0,0,0.01721420632104,0,-192.375756806497,803487303
0,0.0588235294117647,0.57820515625,1.21122916462124,0.0355393918940652,0.069610368885743,0.117219120932936,3.68e-05,5281842,84376.9761025007,0,0,0,0.01721420632104,0,-191.9851135399,1034121814
0,0.0588235294117647,0.57820515625,1.29933472885908,0.0764270641967361,0.060803165847251,0.0607964057015542,3.68e-05,5281842,84377.331068103,0,0,0,0.01721420632104,0,-193.36624419143,134594936
0,0.0588235294117647,0.32825265625,2.70192460137031,0.508643382876456,0.0782254761511096,0.487926393233295,3.68e-05,5281842,534375.696184654,0,0,0,0.01721420632104,0,-252.746662655659,841222008
0,0.0588235294117647,0.32825265625,4.09790204572316,0.438795557297236,0.0694888271612173,0.505562378284348,3.68e-05,5281842,534375.957166416,0,0,0,0.01721420632104,0,-249.422503630818,165260432
0,0.0588235294117647,0.32825265625,5.2828570431017,0.328692858647457,0.0699476969901597,0.651554426791895,3.68e-05,5281842,534374.644256475,0,0,0,0.01721420632104,0,-269.175248079756,189383416
0,0.0588235294117647,0.32825265625,4.38105955347488,0.173432724370628,0.0825249577656297,0.450676005885065,3.68e-05,5281842,534373.480711636,0,0,0,0.01721420632104,0,-276.131862895614,474788121
0,0.0588235294117647,0.32825265625,3.35318313977736,0.351076156993193,0.0852722747224413,0.458456233094214,3.68e-05,5281842,534374.369731618,0,0,0,0.01721420632104,0,-265.951673115459,920410431
0,0.0588235294117647,0.82815765625,1.21008780110609,0.0335114269618453,0.0765038272279729,0.191025418528745,3.68e-05,5281842,234375.148752201,0,0,0,0.01721420632104,0,-195.882657252456,761736511
0,0.0588235294117647,0.82815765625,1.22168208607487,0.0544013502252416,0.0719274917446207,0.215249404210266,3.68000000000001e-05,5281842,234375.358741544,0,0,0,0.01721420632104,0,-195.995394631582,660002068
0,0.0588235294117647,0.82815765625,4.80305052917512,0.222642039585794,0.212224200082792,0.160912868251308,3.67999999999999e-05,5281842,234377.902557551,0,0,0,0.01721420632104,0,-334.811868073441,350546998
0,0.0588235294117647,0.82815765625,1.24309369024387,0.0522964769593338,0.0713267646997502,0.252505553210407,3.68e-05,5281842,234374.862908021,0,0,0,0.01721420632104,0,-196.126464326453,440830883
0,0.0588235294117647,0.82815765625,8.93871202832799,0.200549650003059,0.188795045595457,0.402404165983432,3.68e-05,5281842,234374.075011207,0,0,0,0.01721420632104,0,-310.608083089609,168314040
0,0.0588235294117647,0.45322890625,1.48308696254363,0.546262282706595,0.064578041472359,0.130559424308317,3.68e-05,5281842,309375.18931183,0,0,0,0.01721420632104,0,-200.397169060374,988330638
0,0.0588235294117647,0.45322890625,1.45463579180728,0.46708863320093,0.0660048129286914,0.181779204884236,3.68e-05,5281842,309375.665408912,0,0,0,0.01721420632104,0,-200.673017053504,365005299
