"rho","gamma","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.0588235294117647,-4.60430536681505,0.98437796875,0.711140939250467,-1.0668376970881,-3.34818808914575,3.68e-05,5301405,571873.534406699,0,0,0,0,0,-176.930902677601,170772850
0.15,0.0588235294117647,-4.5805277613527,0.98437796875,0.709781824825594,-1.07674024903214,-3.36312169987718,3.68e-05,5301405,571875.45991073,0,0,0,0,0,-176.920595693223,245990676
0.15,0.0588235294117647,3.01853846598497,0.48447296875,48.7121213746415,-1.21705663919721,-0.886855900765435,3.68e-05,5301405,271875.023663375,0,0,0,0,0,-394.70456673699,232016812
0.15,0.0588235294117647,2.91755143767566,0.48447296875,2.1296881363103,-0.291511874565608,2.58366946576904,3.67999999999999e-05,5301405,271874.994742445,0,0,0,0,0,-367.922333365516,260768694
0.15,0.0588235294117647,5.37971150068822,0.48447296875,13.2817169573503,0.732930870863922,1.2248434558372,3.68e-05,5301405,271874.752766257,0,0,0,0,0,-321.249582117893,17709674
0.15,0.0588235294117647,3.88858606760665,0.48447296875,5.94683322665183,-0.718765623948244,0.995907021735456,3.68e-05,5301405,271873.118613652,0,0,0,0,0,-388.495288663237,69299043
0.15,0.0588235294117647,5.20581242757551,0.48447296875,4.91727911555432,0.146657097724852,2.21080531894544,3.68e-05,5301405,271874.821143613,0,0,0,0,0,-341.167969828252,279435841
0.15,0.0588235294117647,-12.6940574708677,0.79691359375,7.99635759183222,-0.483666236068362,0.155096997521709,3.68e-05,5301405,384373.601899302,0,0,0,0,0,-288.438420408231,225338791
0.15,0.0588235294117647,-12.6179822647313,0.79691359375,7.52186289263954,-0.445436184889645,-0.155484166211767,3.68e-05,5301405,384375.830841334,0,0,0,0,0,-286.231591461526,991987653
0.15,0.0588235294117647,-12.6067442452472,0.79691359375,6.44748040671336,-0.580179032057905,-0.0292560269006038,3.68e-05,5301405,384375.159440054,0,0,0,0,0,-285.34091785771,459701808
0.15,0.0588235294117647,-16.5753339243459,0.79691359375,0.0573051267480645,-2.7799415637906,-2.15856401374585,3.68e-05,5301405,384375.338489607,0,0,0,0,0,-986.486722024631,228619472
0.15,0.0588235294117647,-11.1572778944517,0.79691359375,5.26416118391918,-0.51366326914194,-0.606052639201688,3.68e-05,5301405,384376.131172134,0,0,0,0,0,-266.993021444473,198643280
0.15,0.0588235294117647,-4.66530021079869,0.29700859375,0.954919543779429,-0.88529821626909,-3.36867168028916,3.68e-05,5301405,84376.9187806065,0,0,0,0,0,-181.55802818256,1018745928
0.15,0.0588235294117647,-4.123756764912,0.29700859375,0.663771704015529,-1.51284812237216,-3.54451513386216,3.68e-05,5301405,84375.0807905587,0,0,0,0,0,-175.293267827754,690136242
0.15,0.0588235294117647,-4.17049693439962,0.29700859375,0.677875746985634,-1.43887043500398,-3.60981201887438,3.68e-05,5301405,84377.0632963084,0,0,0,0,0,-175.559428649784,587531657
0.15,0.0588235294117647,-4.15735368978098,0.29700859375,0.695007084723891,-1.47839037574999,-3.55541518197801,3.67999999999999e-05,5301405,84375.5191997756,0,0,0,0,0,-175.28322958894,125284313
0.15,0.0588235294117647,-4.18255166052005,0.29700859375,0.711752974189034,-1.46037437879945,-3.56118285416156,3.67999999999999e-05,5301405,84376.8661494721,0,0,0,0,0,-175.496569212945,778769491
0.15,0.0588235294117647,-2.42063660528515,0.04705609375,1.87004571538695,8.24997910513718,9.03242758048812,3.68e-05,5301405,534374.10780568,0,0,0,0,0,-205.490364044981,652679202
0.15,0.0588235294117647,-2.2026298358401,0.04705609375,1.84992142056716,9.23411406438135,8.56948831479759,3.68e-05,5301405,534376.050531196,0,0,0,0,0,-205.087929551495,160010613
0.15,0.0588235294117647,-2.42752696902694,0.04705609375,1.88643483975571,9.06690177359267,8.38065949364637,3.68e-05,5301405,534374.221866035,0,0,0,0,0,-205.757940555595,1010953610
0.15,0.0588235294117647,-2.51704220048898,0.04705609375,1.89204828761958,8.13319362507038,8.88003781174129,3.68e-05,5301405,534375.337074918,0,0,0,0,0,-206.010018875396,20642168
0.15,0.0588235294117647,-2.42122047247256,0.04705609375,1.9405179887771,8.51277456636507,7.98583835709803,3.68e-05,5301405,534374.024221378,0,0,0,0,0,-206.828683064433,655997935
0.15,0.0588235294117647,-1.94251919824992,0.54696109375,5.51549303691613,3.16069146749551,-1.71367733128154,3.67999999999999e-05,5301405,234374.576689476,0,0,0,0,0,-272.205428623701,137816324
0.15,0.0588235294117647,-3.31502311325758,0.54696109375,1.91267758956449,0.994446586640807,-1.47089596250086,3.68e-05,5301405,234376.204788172,0,0,0,0,0,-212.677837758052,922178318
0.15,0.0588235294117647,1.4787060337566,0.54696109375,1.70996332245066,3.39763995925555,2.54363118798783,3.68e-05,5301405,234375.989530656,0,0,0,0,0,-202.227445813509,111819022
0.15,0.0588235294117647,-1.84718987679847,0.54696109375,4.94124111725027,2.51452100340709,-1.69430876316322,3.68e-05,5301405,234376.846193173,0,0,0,0,0,-265.294571424687,974320148
0.15,0.0588235294117647,1.74777392338687,0.54696109375,1.75522693943714,3.40819958226598,2.32561535572333,3.68000000000001e-05,5301405,234374.822374627,0,0,0,0,0,-202.915666007332,199434783
0.15,0.0588235294117647,-7.5242081916067,0.42198484375,0.0115037035698443,5.60784731793084,-2.59254629188697,3.68e-05,5301405,309376.817808217,0,0,0,0,0,-801.840354753787,449758336
0.15,0.0588235294117647,-6.41864972962281,0.42198484375,0.0150361883049575,4.28664217590441,-3.10383276111124,3.68e-05,5301405,309376.218037733,0,0,0,0,0,-886.353624046931,192495788
0.15,0.0588235294117647,-6.95363084561917,0.42198484375,0.0138485723913283,4.85881441668729,-2.77253547804445,3.68e-05,5301405,309374.401360276,0,0,0,0,0,-855.614985602025,596457806
0.15,0.0588235294117647,-7.16124297374018,0.42198484375,0.0183085283628688,5.15902825506792,-2.7242289384528,3.68000000000001e-05,5301405,309375.744499631,0,0,0,0,0,-822.957843069372,504022939
0.15,0.0588235294117647,-7.43216497433989,0.42198484375,0.0213677884061081,5.45533971292653,-2.48489789497667,3.68e-05,5301405,309374.616022524,0,0,0,0,0,-795.421649357837,673879121
0.15,0.0588235294117647,2.54943679611174,0.92188984375,1.72273775522109,2.66941045872779,6.13556145512178,3.68e-05,5301405,9376.65828813931,0,0,0,0,0,-202.376829653527,257250373
0.15,0.0588235294117647,2.79382101565319,0.92188984375,1.72906597046416,2.61391475551753,5.98174035780865,3.68e-05,5301405,9378.65557778788,0,0,0,0,0,-202.496974098007,992823725
0.15,0.0588235294117647,1.7757660033298,0.92188984375,1.69960315750891,2.93500246483898,6.3003675130615,3.68000000000001e-05,5301405,9375.2659611797,0,0,0,0,0,-201.793593765711,119306694
0.15,0.0588235294117647,1.89045801843001,0.92188984375,1.70642700980131,2.90190440052695,6.16345632794736,3.67999999999999e-05,5301405,9376.36828216126,0,0,0,0,0,-201.920160298316,1067678604
0.15,0.0588235294117647,2.09930548318932,0.92188984375,1.70648037685487,2.79897172507713,6.50027842887929,3.68e-05,5301405,9376.81748924824,0,0,0,0,0,-202.017510330042,1059533198
0.15,0.0588235294117647,-10.738875786716,0.67193734375,5.06866482150084,-0.0348899917583042,-1.58227833525535,3.68e-05,5301405,459375.65683275,0,0,0,0,0,-261.032830407151,7311728
0.15,0.0588235294117647,-7.71788270945481,0.67193734375,2.0251377553427,-0.129317349630874,-2.24466871043547,3.68e-05,5301405,459376.121396064,0,0,0,0,0,-215.060840303548,618213158
0.15,0.0588235294117647,-10.7163689751715,0.67193734375,4.92599169493571,0.11176076697514,-1.81089882081952,3.68e-05,5301405,459375.350638436,0,0,0,0,0,-260.364650766949,353879921
0.15,0.0588235294117647,-9.15554890618633,0.67193734375,3.33484926263115,0.150963513499091,-2.19624373330462,3.68e-05,5301405,459376.796145966,0,0,0,0,0,-238.347773950356,597113277
0.15,0.0588235294117647,-8.95498007104778,0.67193734375,2.8254073954418,0.106671427552506,-2.19319247639659,3.68e-05,5301405,459375.694102448,0,0,0,0,0,-234.736442365776,175578553
0.15,0.0588235294117647,1.61427781488408,0.17203234375,1.71544011434832,3.28182055677074,2.80758834758715,3.68000000000001e-05,5301405,159375.759052381,0,0,0,0,0,-201.968364189211,842747007
0.15,0.0588235294117647,1.59919347266073,0.17203234375,1.71608053642229,3.28550450682093,2.79279028562378,3.68e-05,5301405,159375.289930312,0,0,0,0,0,-201.968233535657,734844332
0.15,0.0588235294117647,1.6036987395202,0.17203234375,1.71366360779457,3.28308669050405,2.79842324764647,3.68e-05,5301405,159375.253055789,0,0,0,0,0,-201.967004402268,914911826
0.15,0.0588235294117647,1.61089749224461,0.17203234375,1.7152347757674,3.28001945388604,2.81404761913976,3.68e-05,5301405,159374.69484488,0,0,0,0,0,-201.970890822269,820762705
0.15,0.0588235294117647,1.60755176896287,0.17203234375,1.71650523633266,3.28199346667369,2.80236995261926,3.68e-05,5301405,159374.943064347,0,0,0,0,0,-201.970771023271,436879764
0.15,0.0588235294117647,-5.05680721691087,0.26576453125,2.2416202015151,10.2824799670983,9.60179421297234,3.67999999999999e-05,5301405,215624.899547774,0,0,0,0,0,-216.005156533558,778526586
0.15,0.0588235294117647,-4.56599175173088,0.26576453125,2.11450782792185,9.01272895084319,10.6186184828746,3.68e-05,5301405,215626.635525841,0,0,0,0,0,-211.477603099289,644424789
0.15,0.0588235294117647,-5.00870641902793,0.26576453125,2.19795744104501,10.0947288731044,10.2710785456302,3.68e-05,5301405,215625.039539626,0,0,0,0,0,-213.783510568562,1060981519
0.15,0.0588235294117647,-4.5940567844126,0.26576453125,2.13699508843072,10.2187481843461,9.99137561523915,3.68e-05,5301405,215624.773082139,0,0,0,0,0,-211.462157109282,598754841
0.15,0.0588235294117647,-4.6069809355127,0.26576453125,2.02241114371094,11.07457867019,10.2129519415866,3.68e-05,5301405,215622.706137451,0,0,0,0,0,-209.531691806913,834434246
0.15,0.0588235294117647,-1.50274868669209,0.76566953125,4.25525991701837,3.73131079545608,-1.59935670796587,3.68000000000001e-05,5301405,515625.807876399,0,0,0,0,0,-282.741019040553,508874507
