"","sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"2450",0.14078828125,0.142857142857143,0.1,-3.1410950056335,0.85320044302879,0.0132475806636311,-0.625302798520155,-1.55955878660554,3.68e-05,5301405,1.39083028351123,154689.025104554,0,0,0,0,718.870104633773,-247.182233313676,336567400,"LHS_search"
"2451",0.14078828125,0.142857142857143,0.1,-3.1378359373321,0.854488884302592,0.0132367777494482,-0.629991114774959,-1.55314772833662,3.68000000000001e-05,5301405,1.78344217757256,154688.458077297,0,0,0,0,722.785105988982,-247.207494192372,303873980,"LHS_search"
"2452",0.14078828125,0.142857142857143,0.1,-3.14992920072203,0.854955968024439,0.0132712876847662,-0.62477688198276,-1.55281487104157,3.68e-05,5301405,1.39294849200441,154688.578339521,0,0,0,0,730.762613728592,-247.197527145934,904929169,"LHS_search"
"2453",0.14078828125,0.142857142857143,0.1,-3.14732737709605,0.85586043019205,0.0132189121828485,-0.624046220516281,-1.55176927284066,3.68e-05,5301405,1.50239033573436,154688.745561209,0,0,0,0,737.741270141269,-247.195120459937,159577529,"LHS_search"
"2454",0.14078828125,0.142857142857143,0.1,-3.14015506039076,0.853548506790079,0.0132475776822906,-0.627007477584606,-1.55433211984427,3.68e-05,5301405,2.26189657331777,154689.208077928,0,0,0,0,724.497263895599,-247.197427916103,772544908,"LHS_search"
"2455",0.14078828125,0.142857142857143,0.1,-3.14639537131103,0.854473914158478,0.0132575323938552,-0.624308056199023,-1.55492078698875,3.68e-05,5301405,1.69713985387814,154687.459692024,0,0,0,0,732.429339292379,-247.191137728054,497450166,"LHS_search"
"2456",0.14078828125,0.142857142857143,0.1,-3.14666461572774,0.856020314005984,0.013299234016727,-0.625281037517638,-1.56001834557896,3.68e-05,5301405,1.31202905711112,154688.839698337,0,0,0,0,725.990017903249,-247.196828061857,830793054,"LHS_search"
"2457",0.14078828125,0.142857142857143,0.1,-3.16046034258742,0.853921491921668,0.0133374821855745,-0.619718727052098,-1.54253422359542,3.68e-05,5301405,1.36514381822182,154688.08982649,0,0,0,0,740.65866293696,-247.188898382521,813593667,"LHS_search"
"2458",0.14078828125,0.142857142857143,0.1,-3.13883764657882,0.856487324393587,0.0131868151117104,-0.628222596297574,-1.55553714074732,3.68e-05,5301405,1.73723681395347,154688.081809306,0,0,0,0,726.007161649696,-247.198686312352,537868887,"LHS_search"
"2459",0.14078828125,0.142857142857143,0.1,-3.13983715065523,0.855535635028178,0.0132892342151095,-0.626997699254869,-1.5576399023909,3.68000000000001e-05,5301405,1.85011880527769,154688.879962616,0,0,0,0,723.027249326749,-247.2028318795,313590657,"LHS_search"
"2460",0.14078828125,0.142857142857143,0.1,-3.14656088952588,0.854071879426773,0.0133560077404299,-0.623076301019071,-1.55742766133839,3.68000000000001e-05,5301405,1.21560951577192,154688.192591587,0,0,0,0,721.38221133397,-247.186527251149,585288129,"LHS_search"
"2461",0.14078828125,0.142857142857143,0.1,-3.14491268721285,0.853662685023062,0.0131578330339313,-0.626482363064359,-1.55400978034751,3.68000000000001e-05,5301405,1.32068785596795,154687.158047116,0,0,0,0,739.342444735189,-247.193617939181,823004211,"LHS_search"
"2462",0.14078828125,0.142857142857143,0.1,-3.1512396967999,0.8531800589217,0.0132064951739974,-0.624248791666634,-1.55398565022741,3.68e-05,5301405,1.60676127987778,154689.007495614,0,0,0,0,739.335281891753,-247.188779963178,672019680,"LHS_search"
"2463",0.14078828125,0.142857142857143,0.1,-3.14953121007017,0.854408102229949,0.0131783625751146,-0.626428310951784,-1.55079513132084,3.68e-05,5301405,1.87990958885895,154689.51700247,0,0,0,0,739.669685559101,-247.195921353909,463725337,"LHS_search"
"2464",0.14078828125,0.142857142857143,0.1,-3.14640323415288,0.855939256533933,0.0133496486815873,-0.625018740236285,-1.55594204600756,3.68e-05,5301405,1.56856229482085,154689.482309792,0,0,0,0,727.077525210835,-247.200513866612,172808281,"LHS_search"
