"sigma_M","gamma","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.0588235294117647,-5.94567847366777,0.51571703125,0.00642242837135544,-1.47153173785781,-0.264809255200713,3.67999999999999e-05,5301405,65626.3742725561,0,0,0,0,0,-842.355707183546,404288442
1e-04,0.0588235294117647,-5.25481780192044,0.51571703125,0.00792526382011974,-0.516247694642491,-0.962265912296773,3.67999999999999e-05,5301405,65625.279634392,0,0,0,0,0,-738.233592036158,277140091
1e-04,0.0588235294117647,4.86408399450316,0.01581203125,0.259741326973133,3.24661295356636,-3.40100905696097,3.67999999999999e-05,5301405,365624.698835572,0,0,0,0,0,-823.596650253939,92640260
1e-04,0.0588235294117647,5.08144647211118,0.01581203125,0.270672984556756,3.11138867119303,-3.41880960390549,3.68000000000001e-05,5301405,365625.445840893,0,0,0,0,0,-833.563331185589,767889666
1e-04,0.0588235294117647,4.98548892673643,0.01581203125,0.270015801946354,3.17679311309319,-3.43225110324249,3.68e-05,5301405,365626.299464457,0,0,0,0,0,-821.112375244874,352689677
1e-04,0.0588235294117647,4.83083755378997,0.01581203125,0.258469517889877,3.20412801204103,-3.37264876094471,3.68e-05,5301405,365623.395449006,0,0,0,0,0,-826.024742264528,99167292
1e-04,0.0588235294117647,4.30000041444451,0.01581203125,0.282030656186001,2.96312116989867,-3.14968476154468,3.68e-05,5301405,365623.717474126,0,0,0,0,0,-819.751213982575,816223877
1e-04,0.0588235294117647,-9.36564618711251,0.89064578125,0.021864566531558,-2.74060609065541,-6.5774673682461,3.67999999999999e-05,5301405,290625.509597489,0,0,0,0,0,-1017.74261110337,823131078
1e-04,0.0588235294117647,-9.37429062506222,0.89064578125,0.0220107567236651,-2.75817104423909,-6.58335843885275,3.67999999999999e-05,5301405,290625.508162631,0,0,0,0,0,-1017.74261110337,1004066312
1e-04,0.0588235294117647,-9.37385389164453,0.89064578125,0.0219840919524913,-2.74744756410086,-6.57367716388816,3.67999999999999e-05,5301405,290625.504915225,0,0,0,0,0,-1017.74261110337,48931008
1e-04,0.0588235294117647,-9.38423104173004,0.89064578125,0.0220869801385713,-2.74812645303399,-6.58540370391537,3.67999999999999e-05,5301405,290625.531615568,0,0,0,0,0,-1017.74261110337,698207531
1e-04,0.0588235294117647,-9.37361570262686,0.89064578125,0.0220781102653802,-2.73659017267883,-6.57471527369705,3.67999999999999e-05,5301405,290625.515760243,0,0,0,0,0,-1017.74261110337,104797961
1e-04,0.0588235294117647,3.28355557125469,0.39074078125,0.0995288187489769,1.80067915873641,2.14708289236308,3.68e-05,5301405,590625.407587159,0,0,0,0,0,-634.003996459266,699292612
1e-04,0.0588235294117647,3.41673508616027,0.39074078125,0.100811113902944,1.88556499346534,2.09061948423066,3.68e-05,5301405,590627.866823448,0,0,0,0,0,-636.187137804876,354109240
1e-04,0.0588235294117647,3.28975300562668,0.39074078125,0.0995884691915868,1.8138062906661,2.17328821303446,3.68e-05,5301405,590624.329785742,0,0,0,0,0,-634.051955504845,488213873
1e-04,0.0588235294117647,3.24029815720415,0.39074078125,0.0961910876181158,1.84202953966257,2.24923188267442,3.68e-05,5301405,590626.449169921,0,0,0,0,0,-635.311387447791,445570016
1e-04,0.0588235294117647,3.29089390025421,0.39074078125,0.0879906044828292,2.0018269446009,1.59895432963065,3.68e-05,5301405,590624.984004334,0,0,0,0,0,-628.913418046101,864826382
1e-04,0.0588235294117647,-14.9067091848512,0.14078828125,0.0210357676996337,4.65710820960605,-3.366434913856,3.67999999999999e-05,5301405,140624.884314635,0,0,0,0,0,-987.201379470376,183504232
1e-04,0.0588235294117647,-14.4085729614219,0.14078828125,0.0209035939561924,4.38730098408501,-2.93156081389755,3.67999999999999e-05,5301405,140625.549905819,0,0,0,0,0,-987.08225011947,472161460
1e-04,0.0588235294117647,-15.7886572653972,0.14078828125,0.0866672418105341,4.47127509092808,-1.99749882711532,3.67999999999999e-05,5301405,140624.396338905,0,0,0,0,0,-954.375883440141,56009491
1e-04,0.0588235294117647,-14.4017821554139,0.14078828125,0.0957828828221483,4.04647455544217,-2.41934219691937,3.67999999999999e-05,5301405,140624.974995242,0,0,0,0,0,-954.274002770502,557429620
1e-04,0.0588235294117647,-14.8217529019041,0.14078828125,0.0564876860704689,4.13052188927854,-1.67444886780087,3.67999999999999e-05,5301405,140625.672008528,0,0,0,0,0,-954.193299321947,130746977
1e-04,0.0588235294117647,-0.343464655008361,0.64069328125,0.482042219875018,2.90422698652987,3.27818662265504,3.68e-05,5301405,440626.641237448,0,0,0,0,0,-502.335678377533,363455783
1e-04,0.0588235294117647,-0.869933399189433,0.64069328125,0.691229693639961,2.21126257724947,4.10421751202705,3.68e-05,5301405,440625.185965326,0,0,0,0,0,-505.207390459259,806347007
1e-04,0.0588235294117647,-1.15769803972767,0.64069328125,0.692629144353263,1.98685903223608,4.09115449254436,3.68e-05,5301405,440624.394480258,0,0,0,0,0,-518.23888920405,947030499
