"b_1","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-3,0.142857142857143,0.1,-12.3426304446242,0.70318140625,120.143679325601,0.192001682149527,-3.2993936857397,3.68e-05,5301405,276561.80376067,98438.1877236913,0,0,0,0,0,-416.856368911119,246056384
-3,0.142857142857143,0.1,-0.505072413793446,0.20327640625,120.071867074318,0.0461402054933756,3.75539739104927,3.67999999999999e-05,5301405,126563.426868222,248437.989535968,0,0,0,0,0,-416.794286085368,304542142
-3,0.142857142857143,0.1,-0.316477078708935,0.20327640625,119.810690796547,0.0901174492771989,3.20743249257896,3.68e-05,5301405,126561.955443224,248436.553013577,0,0,0,0,0,-416.789716578127,754849180
-3,0.142857142857143,0.1,-0.0444160919251228,0.20327640625,116.981732023975,0.190704047145024,3.48472573691562,3.68e-05,5301405,126563.541017629,248437.814934697,0,0,0,0,0,-416.398682296184,574721140
-3,0.142857142857143,0.1,-0.162701737959876,0.20327640625,120.105157869205,0.0382340795268468,3.77939640699066,3.67999999999999e-05,5301405,126562.083151134,248436.985794142,0,0,0,0,0,-416.797901871146,77618943
-3,0.142857142857143,0.1,-0.329454121938855,0.20327640625,119.663076451404,0.0470817423139609,3.38610664378091,3.68e-05,5301405,126563.558647391,248437.314110507,0,0,0,0,0,-416.801271427285,9454874
-3,0.142857142857143,0.1,6.21693991988609,0.95313390625,33.2049590539684,0.578997385661551,0.652538537172296,3.68e-05,5301405,51563.7335413642,23438.5723845643,0,0,0,0,0,-379.339817620341,1009378127
-3,0.142857142857143,0.1,5.2548144773123,0.95313390625,31.4697916260764,0.625709627660522,1.59251142192769,3.68e-05,5301405,51563.5073356201,23440.7845957256,0,0,0,0,0,-373.736114279345,1016546183
-3,0.142857142857143,0.1,8.30330153945931,0.95313390625,25.3909082336783,0.533259523030633,0.953986711782095,3.68e-05,5301405,51561.8216940777,23440.7151256312,0,0,0,0,0,-372.478924186688,915430458
-3,0.142857142857143,0.1,7.46053267452575,0.95313390625,24.0327886031802,0.635276128931162,0.663720495216173,3.67999999999999e-05,5301405,51564.248519373,23438.8173539357,0,0,0,0,0,-371.815233238162,324072444
-3,0.142857142857143,0.1,7.14066796751958,0.95313390625,31.2669838989185,0.564185985398785,-0.104317965203215,3.68000000000001e-05,5301405,51561.0982485258,23438.8839187048,0,0,0,0,0,-378.09646227112,1036343879
-3,0.142857142857143,0.1,-6.37097846874989,0.45322890625,0.00906783296419595,0.0249450374650134,-6.56468879106965,3.68e-05,5301405,201563.017434903,173439.452653592,0,0,0,0,0,-983.954200483465,271500007
-3,0.142857142857143,0.1,-6.45598136301484,0.45322890625,0.00952402951347545,0.0248137051318178,-6.27400654800076,3.68e-05,5301405,201563.704810519,173437.532932769,0,0,0,0,0,-983.975843439075,278759863
-3,0.142857142857143,0.1,-6.41175884594624,0.45322890625,0.00981718476265058,0.0248286777283009,-6.33074335879027,3.68e-05,5301405,201562.938664507,173438.072293135,0,0,0,0,0,-983.985724275658,402509456
-3,0.142857142857143,0.1,-6.54094264461962,0.45322890625,0.00951453188678731,0.0248235926463355,-6.26402971361688,3.68e-05,5301405,201562.303719726,173438.183073456,0,0,0,0,0,-983.974648082501,1027124648
-3,0.142857142857143,0.1,-6.62520728945743,0.45322890625,0.0108315769754243,0.0246555562081324,-5.93238859837681,3.68e-05,5301405,201562.678545198,173438.469664445,0,0,0,0,0,-984.025012935694,811434949
-3,0.142857142857143,0.1,-1.24305135725763,0.14078828125,2.43918909674812,0.916921846999233,-2.43399168660707,3.68e-05,5301405,32814.7213626347,154686.820579619,0,0,0,0,0,-226.760100149237,295389642
-3,0.142857142857143,0.1,-1.23186299676861,0.14078828125,2.41372254584882,0.925604265953486,-2.46407127996203,3.68e-05,5301405,32813.3869342971,154688.501248818,0,0,0,0,0,-226.51529547779,295039064
-3,0.142857142857143,0.1,-1.24578719751276,0.14078828125,2.40177265286877,0.908193084907682,-2.43690624717732,3.68e-05,5301405,32814.5013583538,154688.595608526,0,0,0,0,0,-226.836501758082,528560795
-3,0.142857142857143,0.1,-1.26409557946152,0.14078828125,2.41806213851483,0.937079555554307,-2.40582017111683,3.68e-05,5301405,32814.602024343,154688.356666637,0,0,0,0,0,-226.47912381537,983684089
-3,0.142857142857143,0.1,-1.26368703724282,0.14078828125,2.39071662911311,0.8979588672625,-2.39204668703692,3.68e-05,5301405,32812.8576630301,154690.094177616,0,0,0,0,0,-227.260879621402,882591688
-3,0.142857142857143,0.1,-10.2016510793401,0.64069328125,3.57212222388839,0.41358298516636,2.90297673485776,3.68e-05,5301405,182812.865072928,4686.93149292443,0,0,0,0,0,-348.972182465151,26662070
-3,0.142857142857143,0.1,-10.0467924430281,0.64069328125,3.58133825127707,0.479013870353369,2.77258129032166,3.68e-05,5301405,182811.723052591,4689.97180521383,0,0,0,0,0,-342.585235750833,250559803
-3,0.142857142857143,0.1,-10.2563525416589,0.64069328125,3.44568373281418,0.741068699746073,2.84710919550981,3.68000000000001e-05,5301405,182814.940258824,4688.84682917299,0,0,0,0,0,-338.17146814244,856588181
-3,0.142857142857143,0.1,-11.0647619702799,0.64069328125,8.49977725826355,0.624105308295856,2.94948753152625,3.68e-05,5301405,182811.946736576,4689.75230631365,0,0,0,0,0,-314.880929633307,821667959
-3,0.142857142857143,0.1,-10.880843378874,0.64069328125,3.47083565783014,0.544232611228811,3.24048646172724,3.68000000000001e-05,5301405,182812.95275003,4689.7142867454,0,0,0,0,0,-344.130484467961,711629115
-3,0.142857142857143,0.1,-16.7426467503093,0.39074078125,119.63064316431,0.0429470192390672,-0.0803848338031205,3.68e-05,5301405,257813.15805182,229690.871334083,0,0,0,0,0,-416.893976989257,190753457
-3,0.142857142857143,0.1,-17.0938865724389,0.39074078125,120.474229400737,0.060072514674434,0.418310961528138,3.68e-05,5301405,257811.286368308,229687.447767767,0,0,0,0,0,-416.862881491883,943753700
-3,0.142857142857143,0.1,-17.330028987652,0.39074078125,120.114835414888,0.0518077694293954,0.0169621149692147,3.68000000000001e-05,5301405,257811.660778665,229688.525562226,0,0,0,0,0,-416.881186368461,165877253
-3,0.142857142857143,0.1,-16.7522901163197,0.39074078125,120.115677487821,0.0568244790097301,-0.845483736008128,3.68e-05,5301405,257811.887806206,229687.333353861,0,0,0,0,0,-416.886967750682,459080592
-3,0.142857142857143,0.1,-16.8086500029443,0.39074078125,120.753846323525,0.0375128083706371,-0.0339959930359657,3.68000000000001e-05,5301405,257811.050031311,229687.856930726,0,0,0,0,0,-414.924579446714,21895932
-3,0.142857142857143,0.1,-3.82585786876947,0.89064578125,22.0093511155331,0.583106796657588,-3.61824120747746,3.68e-05,5301405,107811.711485167,79687.2801547177,0,0,0,0,0,-354.577411307053,726049926
