"b_2","gamma","b_3","sigma_P","sigma_M","rho","b_1","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-8,0.0588235294117647,-11.47709824871,0.26576453125,17.6437526205065,0.786432387075818,4.93216853690411,3.68e-05,5301405,215625.052062225,0,0,0,0,0,-330.771539294853,793088888
-8,0.0588235294117647,-11.3689712253445,0.26576453125,20.5250777120761,0.843606015388025,6.25219832920049,3.68e-05,5301405,215626.110258032,0,0,0,0,0,-333.474119131875,217717484
-8,0.0588235294117647,-12.1558351661733,0.26576453125,20.2704463419722,0.811864245608068,5.96676039834628,3.68e-05,5301405,215623.352783226,0,0,0,0,0,-333.795979877595,881011373
-8,0.0588235294117647,-11.3385824565497,0.26576453125,18.5292755926613,0.842840155213706,5.80857819869956,3.68e-05,5301405,215626.246608185,0,0,0,0,0,-332.356224468986,663746447
-8,0.0588235294117647,-11.6295510613867,0.26576453125,19.8644193836689,0.807115115924267,7.51624864934786,3.68e-05,5301405,215626.090511293,0,0,0,0,0,-335.625552522748,663281555
-8,0.0588235294117647,-3.39142941214323,0.76566953125,2.39331459933141,0.789940741237442,0.231887195851744,3.68e-05,5301405,515625.891674994,0,0,0,0,0,-224.806227161753,441321135
-8,0.0588235294117647,-3.61484746630806,0.76566953125,2.15771759170214,0.809280085204752,0.443362306392302,3.68e-05,5301405,515624.119275742,0,0,0,0,0,-223.825796147892,510519387
-8,0.0588235294117647,-3.96927472459406,0.76566953125,16.3239816883043,0.863669132009996,1.97751107937329,3.68e-05,5301405,515625.667724092,0,0,0,0,0,-326.870855320578,988115971
-8,0.0588235294117647,-3.26349340412355,0.76566953125,13.3583160351685,0.838476163694634,0.75196804419525,3.68e-05,5301405,515627.049897434,0,0,0,0,0,-294.835232309393,785635280
-8,0.0588235294117647,-3.59746626905215,0.76566953125,13.9527934308547,0.901819789580882,1.41849228352327,3.68e-05,5301405,515624.856800796,0,0,0,0,0,-315.288050491124,569575395
-8,0.0588235294117647,-4.43382955788613,0.51571703125,2.33392485602021,0.911638577175179,0.789111080315207,3.68e-05,5301405,65625.6424782774,0,0,0,0,0,-220.55541867784,604135752
-8,0.0588235294117647,-3.75972148209976,0.51571703125,2.26010948781084,0.915125507474803,0.368680057717081,3.68e-05,5301405,65625.0785288466,0,0,0,0,0,-218.847288210174,1030243403
-8,0.0588235294117647,-5.4369980248622,0.51571703125,2.6527794326701,0.91690134164118,1.34269781716249,3.68e-05,5301405,65624.7622595172,0,0,0,0,0,-226.091032335789,588672342
